Time 0 done, cost 0.5107577383644725
Time 1 done, cost 0.0036770693980879227
Time 2 done, cost 9.404051039048253
Time 3 done, cost 0.20146179920293908
Time 4 done, cost 10.383537725994067
Time 5 done, cost 0.014842697240916223
Time 6 done, cost 5.023687427998726
Time 7 done, cost 0.4219487125286445
Time 8 done, cost 38.69695019928904
Time 9 done, cost 0.05791511886487498
Time 10 done, cost 1.602006950174419
Time 11 done, cost 1.6207804929385654
Time 12 done, cost 0.0004900106038471498
Time 13 done, cost 1.182197638904284
Time 14 done, cost 1.605671720806564
Time 15 done, cost 5.352202341670753
Time 16 done, cost 0.7502641279953315
Time 17 done, cost 1.057171059013649
Time 18 done, cost 0.07579521052019442
Time 19 done, cost 0.04176707386770275
Time 20 done, cost 0.07481992454666798
Time 21 done, cost 1.5352235714473716
Time 22 done, cost 0.380779085036273
Time 23 done, cost 0.2539892524010962
Time 24 done, cost 0.0035585358990372212
Time 25 done, cost 7.682330074873238
Time 26 done, cost 0.04255745222054015
Time 27 done, cost 0.0056868866282576295
Time 28 done, cost 1.78046873640536
Time 29 done, cost 0.035481295366096316
Time 30 done, cost 0.09548007194483811
Time 31 done, cost 0.045689420239170456
Time 32 done, cost 0.04184476104616623
Time 33 done, cost 9.008796692136583
Time 34 done, cost 1.5847269565077564
Time 35 done, cost 0.020202767770623468
Time 36 done, cost 9.8356968149072
Time 37 done, cost 0.6305708039405912
Time 38 done, cost 2.8662602862470634
Time 39 done, cost 3.4415746973244045e-06
Time 40 done, cost 0.03246434290791474
Time 41 done, cost 0.00639002002386857
Time 42 done, cost 12.440362107698967
Time 43 done, cost 0.4797233749820041
Time 44 done, cost 0.06762659437924572
Time 45 done, cost 0.18900654087287347
Time 46 done, cost 0.02633199543775063
Time 47 done, cost 1.0583721686714593e-06
Time 48 done, cost 0.042864585395499255
Time 49 done, cost 0.04589693765948381
Time 50 done, cost 0.0300923206031245
Time 51 done, cost 0.6131012021159885
Time 52 done, cost 0.00890724138560287
Time 53 done, cost 0.48741225826346457
Time 54 done, cost 0.006407151532824096
Time 55 done, cost 0.10767811332800957
Time 56 done, cost 0.015652870850701495
Time 57 done, cost 0.10209712864605831
Time 58 done, cost 0.2939148834120358
Time 59 done, cost 0.05039528379990418
Time 60 done, cost 13.338605368137719
Time 61 done, cost 0.5346430559367975
Time 62 done, cost 31.549859842065082
Time 63 done, cost 0.19570010377488833
Time 64 done, cost 0.045794636218824326
Time 65 done, cost 17.95110089176099
Time 66 done, cost 0.20300769652543466
Time 67 done, cost 2.681689177464364
Time 68 done, cost 9.02317695372596
Time 69 done, cost 0.6283281786383886
Time 70 done, cost 0.0022011651221766383
Time 71 done, cost 0.0681937962602695
Time 72 done, cost 0.012240546250596198
Time 73 done, cost 7.173716288764045e-05
